Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
38,George Hill,29,IND,PG,74,73,2524,6.4,14.5,.441,2.5,6.2,.408,3.9,8.4,.466,.528,2.2,3.0,.760,1.1,4.7,5.9,5.1,1.6,0.3,2.0,2.9,17.6,112,106,,hillge01
39,Tobias Harris,23,2TM,PF,76,74,2513,8.3,17.7,.469,1.6,4.8,.335,6.7,13.0,.518,.514,4.0,4.9,.831,1.9,8.3,10.2,3.4,1.3,0.8,2.2,3.1,22.3,112,107,,harrito02
39,Tobias Harris,23,ORL,PF,49,49,1610,7.8,16.8,.464,1.5,4.7,.311,6.3,12.1,.523,.507,3.7,4.8,.784,2.2,8.4,10.6,3.1,1.5,0.9,2.4,2.8,20.8,107,107,,harrito02
39,Tobias Harris,23,DET,PF,27,25,903,9.3,19.5,.477,1.8,4.9,.375,7.4,14.5,.512,.524,4.6,5.0,.911,1.4,8.0,9.4,3.9,1.0,0.7,1.7,3.5,25.0,120,106,,harrito02
40,Serge Ibaka,26,OKC,PF,78,78,2500,8.3,17.3,.479,1.2,3.7,.326,7.1,13.6,.520,.513,1.8,2.4,.752,2.8,7.8,10.6,1.3,0.8,2.9,2.1,4.2,19.5,108,105,,ibakase01
41,Jimmy Butler,26,CHI,SG,67,67,2474,9.5,21.0,.454,1.3,4.2,.312,8.2,16.8,.489,.485,8.0,9.6,.832,1.6,5.7,7.3,6.5,2.2,0.9,2.7,2.5,28.4,116,106,DPOY-11ASDEF2,butleji01
42,Brook Lopez,27,BRK,C,73,73,2457,12.1,23.7,.511,0.0,0.3,.143,12.1,23.4,.515,.512,6.5,8.3,.787,4.2,7.6,11.8,3.0,1.2,2.5,3.6,4.4,30.8,109,109,,lopezbr01
43,Nicolas Batum,27,CHO,SF,70,70,2448,7.6,17.9,.426,2.8,8.2,.348,4.8,9.7,.492,.506,3.3,3.9,.849,1.1,7.6,8.8,8.3,1.3,0.9,4.2,2.3,21.4,104,105,,batumni01
44,Gary Harris,21,DEN,SG,76,76,2439,7.4,15.7,.469,2.2,6.1,.354,5.2,9.6,.543,.538,2.2,2.7,.820,1.1,3.4,4.5,3.0,2.0,0.4,2.0,2.9,19.2,110,111,,harriga01
45,Reggie Jackson,25,DET,PG,79,79,2424,11.2,25.9,.434,2.5,7.0,.353,8.8,18.9,.464,.482,6.1,7.0,.864,1.2,4.1,5.3,10.2,1.2,0.2,4.6,3.9,31.0,109,108,,jacksre01
46,Kevin Love,27,CLE,PF,77,77,2424,8.7,20.7,.419,3.4,9.3,.360,5.3,11.4,.467,.499,5.5,6.7,.822,3.2,13.0,16.2,3.9,1.2,0.9,3.0,3.4,26.2,112,102,,loveke01
47,Chris Paul,30,LAC,PG,74,74,2420,10.7,23.1,.462,2.5,6.8,.371,8.1,16.3,.501,.517,6.1,6.8,.896,0.8,5.6,6.4,15.3,3.1,0.3,4.0,3.8,29.9,119,103,MVP-6DPOY-13ASNBA2DEF1,paulch01
48,Jabari Parker,20,MIL,PF,76,72,2408,9.4,19.0,.493,0.2,0.7,.257,9.2,18.3,.502,.498,3.7,4.8,.768,2.6,5.8,8.4,2.7,1.5,0.6,2.5,3.3,22.6,106,111,,parkeja01
