Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
68,Julius Randle,21,LAL,PF,81,60,2286,.429,6.7,.957,.474,.248,.079,.156,.043,.436,.568,.362,.227,.254,.278,.451,.700,.077,60,.111,.000,0,0,,randlju01
69,Dwight Howard,30,HOU,C,71,71,2280,.620,2.6,.990,.658,.322,.008,.003,.010,.626,.752,.378,.400,.000,.000,.710,,.318,176,.000,,2,0,,howardw01
70,Otto Porter Jr.,22,WAS,SF,75,73,2276,.473,15.2,.628,.244,.077,.084,.225,.372,.536,.674,.364,.450,.472,.367,.680,.969,.028,18,.360,.385,2,0,,porteot01
71,Evan Turner,27,BOS,SG,81,12,2271,.456,10.6,.890,.264,.162,.311,.153,.110,.482,.638,.418,.427,.391,.241,.303,.950,.013,8,.494,.341,1,0,6MOY-5,turneev01
72,Tristan Thompson,24,CLE,PF,82,34,2269,.588,2.4,1.000,.695,.260,.036,.010,.000,.588,.671,.413,.400,.000,,.700,,.255,98,,,0,0,6MOY-10,thomptr01
73,LaMarcus Aldridge,30,SAS,PF,74,74,2261,.513,10.0,.985,.279,.191,.211,.303,.015,.521,.733,.465,.427,.426,.000,.660,,.047,47,.500,.000,0,0,ASNBA3,aldrila01
74,D'Angelo Russell,19,LAL,PG,80,48,2259,.410,15.3,.613,.189,.129,.144,.151,.387,.447,.586,.463,.341,.361,.351,.271,.692,.002,2,.143,.358,7,0,ROY-9,russeda01
75,Dwyane Wade,34,MIA,SG,74,73,2258,.456,9.6,.963,.295,.230,.179,.259,.037,.468,.648,.430,.340,.386,.159,.278,.714,.030,36,.136,.333,3,1,AS,wadedw01
76,Marcin Gortat,31,WAS,C,75,74,2256,.567,5.3,.999,.452,.313,.195,.039,.001,.567,.704,.490,.403,.433,.000,.794,,.067,48,.000,,0,0,,gortama01
77,Jeff Teague,27,ATL,PG,79,78,2255,.439,11.0,.723,.372,.156,.098,.094,.277,.454,.563,.338,.412,.269,.401,.167,.636,.005,4,.106,.448,0,0,,teaguje01
78,Jeff Green,29,2TM,SF,80,41,2253,.430,11.3,.742,.308,.218,.090,.125,.258,.470,.602,.344,.486,.350,.315,.401,.896,.063,47,.343,.329,4,0,,greenje02
78,Jeff Green,29,MEM,SF,53,31,1544,.431,11.3,.756,.314,.206,.102,.133,.244,.470,.583,.383,.491,.324,.309,.399,.833,.072,35,.287,.333,4,0,,greenje02
78,Jeff Green,29,LAC,SF,27,10,709,.427,11.4,.712,.296,.243,.064,.109,.288,.468,.646,.277,.471,.414,.325,.404,1.000,.045,12,.442,.324,0,0,,greenje02
79,DeMarcus Cousins,25,SAC,C,65,65,2246,.451,9.2,.842,.360,.286,.035,.161,.158,.473,.595,.412,.255,.358,.333,.550,1.000,.062,73,.033,.286,1,0,ASNBA2,couside01
80,Ish Smith,27,2TM,PG,77,53,2239,.411,10.4,.824,.333,.188,.104,.199,.176,.428,.550,.341,.356,.344,.329,.188,.589,.009,7,.118,.400,1,0,,smithis01
80,Ish Smith,27,NOP,PG,27,3,617,.430,9.5,.855,.382,.206,.079,.189,.145,.451,.598,.340,.389,.302,.303,.159,.700,.004,1,.242,.375,0,0,,smithis01
80,Ish Smith,27,PHI,PG,50,50,1622,.405,11.2,.815,.318,.183,.112,.202,.185,.420,.532,.341,.349,.356,.336,.198,.565,.011,6,.088,.417,1,0,,smithis01
81,Justise Winslow,19,MIA,SF,78,8,2232,.422,10.5,.749,.392,.175,.039,.145,.251,.471,.575,.383,.278,.358,.276,.589,.969,.045,19,.716,.277,2,0,ROY-6,winslju01
82,Gorgui Dieng,26,MIN,C,82,39,2220,.532,8.2,.965,.387,.197,.157,.223,.035,.540,.710,.395,.462,.434,.300,.712,1.000,.131,69,.650,.385,0,0,,dienggo01
83,Robin Lopez,27,NYK,C,82,82,2219,.539,4.6,.998,.456,.394,.100,.048,.002,.540,.619,.529,.333,.313,.000,.524,,.069,44,1.000,.000,0,0,,lopezro01
84,Darren Collison,28,SAC,PG,74,15,2219,.486,13.3,.720,.272,.133,.094,.222,.280,.519,.645,.398,.493,.448,.401,.345,.770,.005,4,.300,.462,2,0,6MOY-15,collida01
85,Raymond Felton,31,DAL,PG,80,31,2192,.406,13.8,.688,.217,.198,.073,.199,.312,.463,.635,.400,.380,.368,.282,.207,.733,.000,0,.178,.263,2,0,,feltora01
86,Matt Barnes,35,MEM,SF,76,45,2190,.381,15.4,.466,.270,.107,.029,.061,.534,.449,.561,.311,.400,.214,.322,.634,.941,.013,8,.284,.305,3,0,,barnema02
87,Anthony Davis,22,NOP,C,61,61,2164,.493,10.3,.905,.299,.195,.165,.246,.095,.511,.697,.396,.420,.434,.324,.728,.943,.146,147,.213,.261,2,0,DPOY-9AS,davisan02
88,Hollis Thompson,24,PHI,SG,77,17,2154,.397,17.8,.424,.146,.103,.062,.112,.576,.420,.576,.371,.357,.303,.380,.645,.973,.004,3,.306,.450,1,0,,thompho01
89,Dion Waiters,24,OKC,SG,78,15,2152,.399,13.9,.660,.286,.076,.065,.229,.340,.421,.515,.333,.435,.333,.358,.306,.872,.025,16,.400,.385,0,0,,waitedi01
90,Elfrid Payton,21,ORL,PG,73,69,2145,.436,8.8,.874,.411,.212,.104,.147,.126,.451,.583,.381,.355,.252,.326,.285,.933,.016,9,.283,.308,1,0,,paytoel01
91,Jamal Crawford,35,LAC,SG,79,5,2126,.404,16.8,.634,.099,.134,.160,.241,.366,.440,.613,.468,.387,.389,.340,.260,.735,.001,1,.230,.418,6,0,6MOY-1,crawfja01
92,Hassan Whiteside,26,MIA,C,73,43,2125,.606,4.7,1.000,.503,.317,.104,.075,.000,.606,.773,.435,.437,.431,,.659,,.224,148,,,0,0,DPOY-3DEF2,whiteha01
93,Bojan Bogdanović,26,BRK,SF,79,39,2115,.433,14.3,.549,.258,.147,.076,.069,.451,.474,.601,.336,.316,.462,.382,.590,.907,.024,17,.402,.426,0,0,,bogdabo02
94,Devin Booker,19,PHO,SG,76,51,2108,.423,14.6,.667,.212,.129,.106,.219,.333,.464,.641,.411,.370,.368,.343,.455,.788,.012,9,.194,.375,1,0,ROY-4,bookede01
95,Deron Williams,31,DAL,PG,65,63,2106,.414,14.8,.636,.164,.183,.111,.178,.364,.454,.591,.401,.407,.413,.344,.241,.804,.001,1,.184,.481,2,0,,willide01
96,Allen Crabbe,23,POR,SG,81,8,2105,.459,17.2,.580,.133,.069,.109,.270,.420,.506,.711,.362,.514,.443,.393,.769,.964,.019,11,.302,.430,1,0,6MOY-16,crabbal01
97,Jared Dudley,30,WAS,PF,81,41,2098,.478,18.7,.511,.127,.027,.057,.298,.489,.534,.758,.385,.464,.469,.420,.872,1.000,.000,0,.244,.483,0,0,,dudleja01
98,JJ Redick,31,LAC,SG,75,75,2097,.480,19.5,.522,.074,.060,.050,.339,.478,.484,.631,.453,.364,.473,.475,.833,.940,.000,0,.159,.552,0,0,,redicjj01
99,Derrick Rose,27,CHI,PG,66,66,2097,.427,10.7,.857,.300,.205,.160,.191,.143,.449,.510,.423,.476,.360,.293,.223,.909,.001,1,.147,.318,2,0,,rosede01
100,Mason Plumlee,25,POR,C,82,82,2084,.516,3.6,.992,.619,.282,.058,.033,.008,.520,.631,.342,.333,.294,.000,.689,,.184,86,.000,,2,0,,plumlma01
101,Kent Bazemore,26,ATL,SF,75,68,2083,.441,12.7,.579,.390,.080,.026,.083,.421,.502,.594,.276,.368,.333,.357,.536,.927,.029,15,.384,.410,1,0,,bazemke01
102,Emmanuel Mudiay,19,DEN,PG,68,66,2068,.364,12.7,.744,.293,.117,.146,.186,.256,.379,.475,.292,.311,.339,.319,.286,.730,.018,14,.078,.278,1,0,ROY-7,mudiaem01
103,Jerami Grant,21,PHI,PF,77,52,2066,.419,8.4,.756,.491,.184,.047,.035,.244,.477,.619,.209,.179,.286,.240,.685,1.000,.137,73,.500,.288,0,0,,grantje01
104,Danny Green,28,SAS,SG,79,79,2062,.376,18.3,.378,.166,.050,.064,.094,.622,.448,.602,.250,.361,.340,.332,.716,.966,.018,6,.312,.294,3,0,,greenda02
105,Jeremy Lin,27,CHO,SG,78,13,2048,.412,13.0,.690,.305,.130,.088,.166,.310,.446,.568,.379,.344,.331,.336,.348,.816,.001,1,.102,.391,0,0,6MOY-7,linje01
106,Kristaps Porziņģis,20,NYK,PF,72,72,2047,.421,13.2,.726,.216,.184,.167,.159,.274,.454,.576,.356,.405,.454,.333,.586,.988,.064,52,.099,.292,1,0,ROY-2,porzikr01
107,Cory Joseph,24,TOR,SG,80,4,2046,.439,10.9,.812,.297,.239,.111,.164,.188,.478,.615,.400,.385,.406,.273,.189,.967,.000,0,.309,.441,1,0,,josepco01
108,Harrison Barnes,23,GSW,SF,66,59,2042,.466,13.9,.662,.227,.147,.104,.183,.338,.508,.625,.409,.394,.509,.383,.634,.988,.093,54,.444,.358,0,0,,barneha02
109,Patrick Beverley,27,HOU,PG,71,63,2041,.434,15.3,.478,.197,.175,.059,.047,.522,.472,.581,.365,.457,.429,.400,.351,.839,.003,2,.416,.403,0,0,,beverpa01
110,Nikola Vučević,25,ORL,C,65,60,2037,.510,9.8,.991,.247,.279,.166,.299,.009,.512,.616,.500,.431,.482,.222,.610,.500,.032,29,.000,,1,0,,vucevni01
111,Langston Galloway,24,NYK,PG,82,7,2033,.393,15.4,.619,.235,.097,.060,.228,.381,.423,.580,.421,.371,.276,.344,.468,.844,.003,2,.263,.475,6,0,,gallola01
112,José Calderón,34,NYK,PG,72,72,2024,.459,18.4,.554,.099,.029,.114,.312,.446,.496,.644,.538,.404,.479,.414,.304,.869,.000,0,.133,.481,0,0,,caldejo01
113,Patrick Patterson,26,TOR,PF,79,0,2020,.414,17.2,.406,.124,.152,.087,.043,.594,.490,.525,.560,.349,.429,.362,.500,.991,.037,16,.386,.372,0,0,6MOY-16,pattepa01
114,Zach Randolph,34,MEM,PF,68,53,2016,.475,8.6,.971,.314,.310,.103,.245,.029,.482,.604,.423,.462,.410,.231,.478,.833,.001,1,.077,.500,3,0,,randoza01
115,Steven Adams,22,OKC,C,80,80,2014,.613,2.2,1.000,.721,.258,.016,.005,.000,.613,.655,.500,.571,.500,,.762,,.277,101,,,0,0,,adamsst01
116,Ryan Anderson,27,NOP,PF,66,7,2008,.427,15.3,.615,.227,.097,.112,.179,.385,.466,.521,.433,.375,.470,.366,.444,.924,.020,16,.165,.322,5,0,6MOY-6,anderry01
117,Zaza Pachulia,31,DAL,C,76,69,2004,.466,5.9,.994,.523,.200,.147,.123,.006,.469,.589,.383,.290,.310,.000,.680,,.030,13,.000,,3,0,,pachuza01
118,Derrick Favors,24,UTA,PF,62,59,1983,.515,7.7,.995,.380,.210,.249,.157,.005,.518,.714,.453,.391,.331,.000,.646,,.107,85,.000,,2,0,,favorde01
119,Tony Parker,33,SAS,PG,72,72,1980,.493,10.5,.908,.311,.173,.141,.285,.092,.501,.615,.431,.420,.455,.415,.279,.815,.000,0,.692,.356,0,0,,parketo01
120,Dante Cunningham,28,NOP,SF,80,46,1971,.451,14.5,.578,.296,.083,.039,.163,.422,.550,.705,.235,.500,.433,.316,.855,1.000,.066,24,.615,.336,2,0,,cunnida01
121,Isaiah Canaan,24,PHI,SG,77,39,1966,.360,19.0,.328,.130,.096,.047,.057,.672,.354,.489,.261,.294,.244,.363,.417,.744,.000,0,.198,.406,0,0,,canaais01
122,Nerlens Noel,21,PHI,C,67,62,1965,.521,5.1,.997,.545,.228,.106,.118,.003,.521,.716,.306,.306,.232,.500,.669,1.000,.278,151,.000,,0,0,,noelne01
123,Garrett Temple,29,WAS,SF,80,43,1951,.398,15.7,.489,.261,.071,.046,.113,.511,.453,.561,.306,.348,.333,.345,.571,.944,.026,13,.457,.364,1,0,,templga01
124,Taj Gibson,30,CHI,PF,73,55,1936,.526,5.8,.994,.524,.188,.160,.124,.006,.529,.630,.447,.388,.403,.000,.643,,.152,71,.000,,0,0,,gibsota01
125,Rudy Gobert,23,UTA,C,61,60,1932,.559,1.8,1.000,.802,.175,.006,.017,.000,.559,.641,.226,.000,.333,,.626,,.297,96,,,0,0,DPOY-7,goberru01
126,Jared Sullinger,23,BOS,PF,81,73,1915,.435,11.3,.872,.292,.202,.092,.287,.128,.458,.591,.399,.351,.398,.282,.609,1.000,.009,7,.019,.500,2,0,,sullija01
